Сайт;Файл;H1;Title;Description
berg-kompressor.ru;mks.html;Модульная компрессорная станция BERG;Модульная компрессорная станция BERG: МКС в контейнере под ключ;МКС BERG - блок-контейнер с винтовым компрессором 4-355 кВт: утепление, вентиляция, отопление, электрика, пожарная автоматика. Производительность 400-63 000 л/мин.
berg-kompressor.ru;osushiteli.html;Осушители сжатого воздуха BERG;Осушители сжатого воздуха BERG: 86 моделей мощностью 0,1-18 кВт;Осушители BERG удаляют влагу из сжатого воздуха: 86 позиций 0,1-18 кВт, давление 10-16 бар. Снижают точку росы, защищают трубы от коррозии и пневмоинструмент от поломок.
berg-kompressor.ru;tsiklonnye-separatory.html;Циклонные сепараторы BERG;Циклонные сепараторы BERG: 30 моделей на давление 12-16 бар;Циклонные сепараторы BERG для компрессорных установок: 30 моделей на давление 12-16 бар. Комплект с крепежом и дренажной арматурой, подбор под параметры компрессора.
berg-kompressor.ru;vintovye-kompressory.html;Винтовые компрессоры BERG;Винтовые компрессоры BERG: 598 моделей, 4-355 кВт, до 16 бар;Винтовые компрессоры BERG 4-355 кВт: 598 моделей, 400-63 000 л/мин, давление 7-16 бар. 203 - с частотным приводом, 205 - с ресивером, 100 - с осушителем.
crossair-compressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Cross Air;Модульная азотная станция Cross Air: контейнер, привод 5,5-250 кВт;Модульная азотная станция Cross Air в контейнере: компрессор 5,5-250 кВт, генератор Enger, вентиляция, обогрев. Для площадок без здания или с дефицитом электричества.
crossair-compressor.ru;azotnaya-stanciya.html;Азотная станция Cross Air;Азотная станция Cross Air на генераторе Enger: чистота азота 97%;Азотная станция на компрессоре Cross Air и генераторе Enger: адсорбционный или мембранный метод, чистота 97%. Рассчитаем станцию под ваш расход и давление.
crossair-compressor.ru;dizelnye-kompressory.html;Дизельные компрессоры Cross Air;Дизельные компрессоры Cross Air: 28 моделей мощностью 15-147 кВт;Дизельные компрессоры Cross Air для площадок без электросети: 28 моделей 15-147 кВт, 2000-26800 л/мин, давление до 25 бар. На шасси с дышлом, готовы к работе сразу.
crossair-compressor.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Cross Air;Модульная кислородная станция Cross Air: контейнер под параметры газа;Модульная кислородная станция Cross Air в блок-контейнере: компрессор, генератор Enger, вентиляция, обогрев. Чистота обычно 90-95%. Расчёт под параметры газа и площадки.
crossair-compressor.ru;kislorodnaya-stanciya.html;Кислородная станция Cross Air;Кислородная станция Cross Air: чистота 93-95%, 20-1670 л/мин;Кислородная станция на компрессоре Cross Air и генераторе Enger: производительность от 20 до 1670 л/мин, концентрация 93-95%, 12 позиций генераторов в каталоге.
crossair-compressor.ru;kompressornaya-stanciya.html;Компрессорная станция Cross Air;Компрессорная станция Cross Air для машинного зала: 5,5-250 кВт;Стационарная станция на компрессоре Cross Air: 5,5-250 кВт, 500-42000 л/мин, давление 8-25 бар. Ресивер, осушитель, фильтры и автоматика одним комплектом.
crossair-compressor.ru;mks.html;Модульная компрессорная станция Cross Air;Модульная компрессорная станция Cross Air: МКС в контейнере под ключ;МКС Cross Air - блок-контейнер заводской готовности с винтовым компрессором: вентиляция, отопление, 49 моделей с частотным регулированием. Расчёт под площадку.
crossair-compressor.ru;osushiteli.html;Осушители воздуха Cross Air;Осушители воздуха Cross Air: 28 моделей для автономных станций;Осушители Cross Air для автономных станций без электросети: 28 позиций, давление 10-16 бар. Дизельное и бензиновое исполнение под пневмоинструмент и покраску.
crossair-compressor.ru;vintovye-kompressory.html;Винтовые компрессоры Cross Air;Винтовые компрессоры Cross Air: 161 модель, 5,5-250 кВт, до 25 бар;Дизельные винтовые компрессоры Cross Air для работы без электросети: 161 модель 5,5-250 кВт, давление 8-25 бар. Передвижные на шасси и стационарные исполнения.
dali-kompressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Dali;Модульная азотная станция Dali: контейнер, чистота до 99,999%;Азотная станция Dali в блок-контейнере: генератор Enger, чистота азота 95-99,999%, датчик кислорода, обогрев зимой. Подберём компоновку под вашу площадку.
dali-kompressor.ru;azotnaya-stanciya.html;Азотная станция на компрессоре Dali;Азотная станция Dali: чистота азота до 99,999%, ресивер;Азотная станция на компрессоре Dali: генератор Enger, чистота азота до 99,999%, ресивер под пиковый отбор, замена баллонных рамп. Расчёт под расход и давление газа.
dali-kompressor.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Dali;Модульная кислородная станция Dali: контейнер, дожим до 200 бар;Кислородная станция Dali в блок-контейнере: генератор Enger чистотой 93-95%, дожимной блок до 200 бар, вентиляция и датчики концентрации кислорода. Расчёт под задачу.
dali-kompressor.ru;kislorodnaya-stanciya.html;Кислородная станция на базе Dali;Кислородная станция Dali: чистота 93-95%, заправка баллонов;Кислородная станция на компрессоре Dali: генератор Enger, чистота 93-95%, дожим до 150-200 бар, ресивер и подготовка воздуха. Подбор под расход объекта.
dali-kompressor.ru;kompressornaya-stanciya.html;Компрессорная станция Dali;Компрессорная станция Dali: компрессор, ресивер, осушитель;Компрессорная станция Dali для машинного зала: компрессор 5,5-355 кВт, ресивер, осушитель, фильтрация и автоматика подобраны под фактический расход и график цеха.
dali-kompressor.ru;mks.html;Модульная компрессорная станция Dali;МКС Dali под ключ: вентиляция, отопление, пожарная автоматика;Модульная компрессорная станция Dali: компрессор 5,5-355 кВт, ресивер и осушитель в контейнере с вентиляцией и отоплением. Пример - 110 кВт, Воронежская область.
dali-kompressor.ru;osushiteli.html;Компрессорные станции Dali с осушителем;Осушители для компрессорных станций Dali: 66 позиций, 10 бар;Компрессорная станция Dali с осушителем на 10 бар: рефрижераторный или адсорбционный узел, ресивер и фильтры - 66 позиций под точку росы и производительность компрессора.
dali-kompressor.ru;vintovye-kompressory.html;Винтовые компрессоры Dali;Винтовые компрессоры Dali: 323 модели, 5,5-355 кВт, до 13,5 бар;Винтовые компрессоры Dali: 323 модели 5,5-355 кВт, давление 1,5-13,5 бар, 156 моделей с частотным преобразователем. Сборка компрессорной станции под задачу.
ekomak-kompressor.com;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Ekomak;Модульная азотная станция Ekomak: контейнер и генератор Enger;Азотная станция Ekomak в блок-контейнере: компрессор 2,2-315 кВт, генератор Enger, ресивер азота, датчик кислорода. Площадка без капитального строительства.
ekomak-kompressor.com;azotnaya-stanciya.html;Азотная станция на базе Ekomak;Азотная станция Ekomak: чистота азота до 99,999%, ресивер;Азотная станция на компрессоре Ekomak: 358 позиций 2,2-315 кВт, генератор Enger, чистота азота до 99,999%, ресивер под пиковый отбор, замена баллонов и дьюаров азотом.
ekomak-kompressor.com;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Ekomak;Модульная кислородная станция Ekomak: контейнер и вентиляция;Кислородная станция Ekomak в блок-контейнере: компрессор 2,2-315 кВт, генератор Enger, принудительная вентиляция, датчики концентрации кислорода. Расчёт под объект.
ekomak-kompressor.com;kislorodnaya-stanciya.html;Кислородная станция Ekomak;Кислородная станция Ekomak: чистота 93-95%, заправка баллонов;Кислородная станция на компрессоре Ekomak 2,2-315 кВт: генератор Enger, ресивер, заправка баллонов, аэрация воды, сварка и медицинское применение кислорода.
ekomak-kompressor.com;kompressornaya-stanciya.html;Компрессорная станция Ekomak;Компрессорная станция Ekomak: ресивер, осушение, фильтрация;Компрессорная станция Ekomak в машинном зале: компрессор, ресивер объёмом 10-20% минутной производительности, осушение и фильтрация подобраны под расход и график цеха.
ekomak-kompressor.com;mks.html;Модульная компрессорная станция Ekomak;МКС Ekomak под ключ: контейнер, готов к работе за 2-3 дня;Модульная компрессорная станция Ekomak: компрессор 2,2-315 кВт, ресивер под пиковые нагрузки, давление 7-13 бар. Монтаж на площадке - готова к работе за 2-3 дня.
ekomak-kompressor.com;osushiteli.html;Холодильные осушители Ekomak;Осушители Ekomak для компрессоров: 99 позиций, 9-16 бар;Холодильные осушители Ekomak: 99 позиций мощностью 0,13-12,3 кВт, давление 9-16 бар. Подбор осушителя от объёма ресивера и производительности компрессора вашей станции.
ekomak-kompressor.com;spiralnye-kompressory.html;Спиральные компрессоры Ekomak;Безмасляные спиральные компрессоры Ekomak: класс 0 по ISO 8573-1;Спиральные компрессоры Ekomak: 40 позиций 1,5-22 кВт, 8-10 бар, класс 0 по маслу ISO 8573-1. 18 моделей с осушителем - для фармацевтики и пищевого производства.
ekomak-kompressor.com;vintovye-kompressory.html;Винтовые компрессоры Ekomak;Винтовые компрессоры Ekomak: 358 моделей, 2,2-315 кВт, 7-13 бар;Винтовые компрессоры Ekomak: 358 моделей 2,2-315 кВт, давление 7-13 бар, 149 моделей с частотным преобразователем, 88 станций с ресивером и 69 - со встроенным осушителем.
enger-air.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Enger;Модульная азотная станция Enger: контейнер 20 или 40 футов;Азотная станция Enger в блок-контейнере 20 или 40 футов: генератор 30-20 000 л/мин, датчик кислорода, мониторинг. Решение для сезонных и выездных площадок.
enger-air.ru;generatory-azota.html;Генераторы азота Enger для станций;Генераторы азота Enger: 203 позиции, чистота от 95% до 99,999%;Каталог генераторов азота Enger: 203 позиции, 30-20 000 л/мин, давление 8-10 бар, чистота от 95% до 99,999%. В комплект входят компрессор, осушитель и фильтры.
enger-air.ru;generatory-kisloroda.html;Генераторы кислорода Enger;Генераторы кислорода Enger: 12 моделей, концентрация 93±3%;Каталог генераторов кислорода Enger: 12 позиций, 20-1670 л/мин, давление 8 бар, концентрация кислорода 93±3%. Подберём компрессор и рассчитаем станцию под нужный расход.
enger-air.ru;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Enger;Модульная кислородная станция Enger: дожим кислорода до 150-200 бар;Кислородная станция Enger в контейнере: компрессор 2,2-500 кВт, генератор 20-1670 л/мин, чистота 90-93%, дожим до 150-200 бар. Пожаротушение и вентиляция - в комплекте.
enger-air.ru;kompressornaya-stanciya.html;Компрессорная станция Enger;Компрессорная станция Enger: 2,2-500 кВт под класс ISO 8573-1;Компрессорная станция Enger: компрессор 2,2-500 кВт, давление 8-13 бар, ресивер и осушитель под класс чистоты ISO 8573-1. В линейке 661 безмасляная модель.
enger-air.ru;mks.html;Модульная компрессорная станция Enger;МКС Enger: безмасляный воздух для пищевых линий розлива;МКС Enger в утеплённом контейнере: компрессор 2,2-500 кВт, давление до 40 бар, 847 безмасляных позиций в каталоге. Готова к подключению без строительства помещения.
fini-compressor.com;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Fini;Модульная азотная станция Fini: контейнер снижает шум на 20-25 дБА;Азотная станция Fini и Enger в контейнере: компрессор 2,2-315 кВт, генератор 30-20 000 л/мин, шумоизоляция снижает шум на 20-25 дБА. Подходит для жилой застройки.
fini-compressor.com;azotnaya-stanciya.html;Азотная станция на компрессоре Fini;Азотная станция Fini: компрессор и генератор Enger под ваш расход газа;Азотная станция на компрессоре Fini 2,2-315 кВт и генераторе Enger: 203 модели, чистота от 95% до 99,999%, давление 8-10 бар. Расчёт по параметрам вашего газа.
fini-compressor.com;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Fini;Модульная кислородная станция Fini: генератор Enger в блок-контейнере;Кислородная станция Fini в блок-контейнере: компрессор 2,2-315 кВт, генератор Enger 20-1670 л/мин, чистота 93-95%. Порог по кислороду 23-25% задаётся проектом.
fini-compressor.com;kislorodnaya-stanciya.html;Кислородная станция на компрессоре Fini;Кислородная станция Fini: чистота 93-95%, дожим до 150-200 бар;Кислородная станция на компрессоре Fini 2,2-315 кВт и генераторе Enger 20-1670 л/мин: чистота 93-95%, дожим до 150-200 бар под баллоны. Расчёт по расходу кислорода.
fini-compressor.com;kompressornaya-stanciya.html;Компрессорная станция Fini;Компрессорная станция Fini: подбор под график цеха, КП за рабочий день;Компрессорная станция Fini под график цеха: компрессор 2,2-315 кВт, давление 7-15 бар, ресивер, осушитель и фильтрация. Предложение с ценой - в течение рабочего дня.
fini-compressor.com;mks.html;Модульная компрессорная станция Fini;Модульная компрессорная станция Fini: контейнер тише на 15-25 дБ;МКС Fini в утеплённом блок-контейнере: компрессор 2,2-315 кВт, давление 7-15 бар, акустические панели снижают шум на 15-20 дБ. Ставится вплотную к цеху.
fini-compressor.com;vintovye-kompressory.html;Винтовые компрессоры Fini;Винтовые компрессоры Fini: 381 модель, уровень шума от 58 дБ(А);Каталог винтовых компрессоров Fini: 381 позиция мощностью 2,2-315 кВт, давление 7-15 бар, шум от 58 дБ(А). Есть модели с ресивером, частотным приводом и осушителем.
ironmac-compressor.com;azotnaya-stanciya-modulnaya.html;Модульная азотная станция IRONMAC;Модульная азотная станция IRONMAC - контейнер, 5,5-315 кВт;Азотная станция IRONMAC в контейнере: компрессор 5,5-315 кВт, генератор Enger, осушитель и фильтры воздуха. Готова к работе - подключите питание и магистраль азота.
ironmac-compressor.com;azotnaya-stanciya.html;Азотная станция на компрессоре IRONMAC;Азотная станция IRONMAC - генератор Enger, чистота до 99,999%;Азотная станция на компрессоре IRONMAC 5,5-315 кВт: генератор Enger 30-20000 л/мин, чистота азота 95-99,999% при давлении 8-10 бар, ресивер и тракт подготовки воздуха.
ironmac-compressor.com;filtry-magistralnye.html;Магистральные фильтры IRONMAC;Магистральные фильтры IRONMAC - 12 моделей для очистки воздуха;Магистральные фильтры IRONMAC очищают воздух от частиц, масла, воды и запаха. 12 моделей под разный расход и класс чистоты, под заказ - весь модельный ряд завода.
ironmac-compressor.com;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция IRONMAC;Модульная кислородная станция IRONMAC - дожим до 200 бар;Кислородная станция IRONMAC в блок-контейнере: компрессор 5,5-315 кВт, генератор Enger 20-1670 л/мин, дожим до 150-200 бар для заправки баллонов, тракт собран на заводе.
ironmac-compressor.com;kislorodnaya-stanciya.html;Кислородная станция IRONMAC;Кислородная станция IRONMAC - генератор Enger, чистота 93-95%;Кислородная станция на компрессоре IRONMAC 5,5-315 кВт: генератор Enger, 12 моделей 20-1670 л/мин, чистота 93-95%, буферная ёмкость и тракт очистки воздуха от масла.
ironmac-compressor.com;kompressornaya-stanciya.html;Компрессорная станция IRONMAC;Компрессорная станция IRONMAC - подбор под цех, до 16 бар;Компрессорная станция IRONMAC для машинного зала: компрессор 5,5-315 кВт, давление 8-16 бар, производительность 600-50200 л/мин, ресивер и автоматика под ваш график.
ironmac-compressor.com;mks.html;Модульная компрессорная станция IRONMAC;Модульная компрессорная станция IRONMAC - контейнер за смену;МКС IRONMAC в блок-контейнере: компрессор 5,5-315 кВт, ресивер, автоматика, вентиляция и отопление для зимы, пожарная автоматика и дренаж конденсата, монтаж за смену.
ironmac-compressor.com;osushiteli.html;Осушители IRONMAC высокого давления;Осушители IRONMAC - 14 моделей на 16-50 бар, 0,3-3,7 кВт;Осушители IRONMAC для станций высокого давления: 14 моделей мощностью 0,3-3,7 кВт на давление 16-50 бар, подбор по параметрам компрессора и режиму работы.
ironmac-compressor.com;vintovye-kompressory.html;Винтовые компрессоры IRONMAC;Винтовые компрессоры IRONMAC - 98 моделей, 79 с частотником;Винтовые компрессоры IRONMAC: 98 позиций мощностью 5,5-315 кВт, производительность 600-50200 л/мин, давление 8-16 бар, 79 моделей с частотным приводом.
kraftmann-kompressor.com;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Kraftmann;Модульная азотная станция Kraftmann - контейнер, дожим до 200 бар;Азотная станция Kraftmann в блок-контейнере: компрессор, генератор Enger, дожим до 150-200 бар для заправки баллонов. Станция готова - подключите питание и азотопровод.
kraftmann-kompressor.com;azotnaya-stanciya.html;Азотная станция Kraftmann;Азотная станция Kraftmann - компрессор 3-500 кВт и дожим давления;Азотная станция на компрессоре Kraftmann 3-500 кВт: генератор Enger 30-20000 л/мин, ресивер-накопитель, для высокого давления - дожимной компрессор в составе.
kraftmann-kompressor.com;dozhimnye-kompressory.html;Дожимные компрессоры Kraftmann;Дожимные компрессоры Kraftmann - 48 моделей, давление до 40 бар;Дожимные компрессоры Kraftmann: 48 позиций мощностью 2,2-18,5 кВт повышают давление с 6-10 до 15-40 бар, производительность на входе 390-3240 л/мин, ременный привод.
kraftmann-kompressor.com;filtry-magistralnye.html;Магистральные фильтры Kraftmann;Магистральные фильтры Kraftmann - 255 моделей до 50 бар;Магистральные фильтры Kraftmann для давления 16-50 бар: 255 позиций для дожимных ступеней, бустерных установок и каскадных схем, где фильтры на 10-13 бар не подходят.
kraftmann-kompressor.com;kislorodnaya-stanciya-modulnaya.html;Модульная кислородная станция Kraftmann;Модульная кислородная станция Kraftmann - дожим до 300 бар;Кислородная станция Kraftmann в контейнере: компрессор, генератор Enger, системы безопасности. Опционально - дожимной компрессор для заправки баллонов до 200-300 бар.
kraftmann-kompressor.com;kislorodnaya-stanciya.html;Кислородная станция Kraftmann;Кислородная станция Kraftmann - генератор Enger, дожим до 200 бар;Кислородная станция на компрессоре Kraftmann 3-500 кВт: генератор Enger, 12 моделей 20-1670 л/мин, ресивер. Заправка баллонов до 150-200 бар - дожимной компрессор.
kraftmann-kompressor.com;kompressornaya-stanciya.html;Компрессорная станция Kraftmann;Компрессорная станция Kraftmann - 386 моделей, до 15 бар;Компрессорная станция Kraftmann для машинного зала: компрессор 3-500 кВт, давление 7-15 бар, производительность до 71150 л/мин, 386 позиций в каталоге, 26 безмасляных.
kraftmann-kompressor.com;mks.html;Модульная компрессорная станция Kraftmann;Модульная компрессорная станция Kraftmann - контейнер, 15 бар;МКС Kraftmann в блок-контейнере заводской готовности: компрессор 3-500 кВт, давление до 15 бар, производительность до 71150 л/мин, вентиляция и отопление.
kraftmann-kompressor.com;osushiteli.html;Осушители Kraftmann высокого давления;Осушители Kraftmann - 245 моделей, 0,04-38 кВт, до 252 бар;Осушители Kraftmann: 245 позиций мощностью 0,04-38 кВт для давления 8-16 бар, специальные исполнения - до 252 бар. Производительность 430-5780 л/мин для спецзадач.
kraftmann-kompressor.com;tsiklonnye-separatory.html;Циклонные сепараторы Kraftmann;Циклонные сепараторы Kraftmann - 15 моделей, дожим до 40 бар;Циклонные сепараторы Kraftmann для бустерных станций и схем дожима до 40 бар: 15 позиций, потеря давления не более 0,2-0,3 бар, удаляют конденсат перед сжатием.
kraftmann-kompressor.com;vintovye-kompressory.html;Винтовые компрессоры Kraftmann;Винтовые компрессоры Kraftmann - 386 моделей, дожим до 15 бар;Винтовые компрессоры Kraftmann: 386 позиций мощностью 3-500 кВт, давление 7-15 бар, производительность 240-71150 л/мин, 80 моделей с частотным приводом.
remeza-kompressor.ru;azotnaya-stanciya-modulnaya.html;Модульная азотная станция Remeza;Модульная азотная станция Remeza: блок-контейнер с генератором Enger;Модульная азотная станция Remeza в блок-контейнере: компрессор, подготовка воздуха, ресивер, генератор азота Enger. Расчёт контейнера 20 или 40 футов под ваш расход газа.
remeza-kompressor.ru;azotnaya-stanciya.html;Азотная станция на компрессоре Remeza;Азотная станция Remeza: компрессор, генератор Enger и ресивер;Азотная станция на компрессоре Remeza: подготовка воздуха, генератор азота Enger, ресивер. В каталоге 266 компрессоров 2,2-315 кВт и 203 генератора 30-20 000 л/мин.
remeza-kompressor.ru;filtry-magistralnye.html;Магистральные фильтры Remeza;Магистральные фильтры Remeza на 16 бар: 34 позиции под класс чистоты;34 позиции магистральных фильтров Remeza на давление 16 бар: циклонные влагоотделители, субмикронные и угольные. Комплект под компрессор и класс чистоты по ISO 8573-1.
