inn;predpriyatie;chem_derzhitsya;primer_citaty;pochemu
4715030610;"ООО ""ПГЛЗ""";вывод по роду деятельности;закупка для БЦП заявка (2374) РОТОР НАГНЕТАТЕЛЯ ЦН750/23/8 ч. 0812.025.000СБ со втулкой ч.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7701791321;"ООО ""СК ""РУСВЬЕТПЕТРО""";вывод по роду деятельности;Турбокомпрессор НЭС;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1435117944;"Акционерное общество ""Сахаэнерго""";вывод по роду деятельности;Турбокомпрессоры;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙ";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров, гидроусилителей руля, алюминиевых радиаторо;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5003026493;"ООО ""ГАЗПРОМ БУРЕНИЕ""";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5001000066;"АО ""КРИОГЕНМАШ""";вывод по роду деятельности;Запрос предложений на поставку центробежных воздушных компрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6317024749;"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""";вывод по роду деятельности;Турбокомпрессор IVECO TRAKKER;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5501085734;"ООО ""ПОЛИОМ""";не сказан;Заключение № 0832/2024-ТУ экспертизы промышленной безопасности технического устройства, пр;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";вывод по роду деятельности;"Замена стартера; прошивка ЭБУ 80145101В СС11-12А650-ВС 6SNC J38AC; удаление клапана ЕГР; с";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3202001147;"АО ""МАЛЬЦОВСКИЙ ПОРТЛАНДЦЕМЕНТ""";вывод по роду деятельности;"Выполнение работ по тех.обслуживанию по плану ""Е"" турбокомпрессора Atlas Copco ZH15000+сер";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2723188252;"ООО ""Амурсталь""";вывод по роду деятельности;ТХ000000722 от 5.08.2019 г. Турбокомпрессоры (id391848);ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4212002310;"ООО ""Сиб-Дамель""";вывод по роду деятельности;технические устройства, применяемые на опасном производственном объекте: инжекторный нагне;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5904081443;"ПЕРМСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ КОММ";вывод по роду деятельности;Поставка турбокомпрессоров для ГПУ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4205000908;"КАО ""АЗОТ""";не сказан;Заключение экспертизы промышленной безопасности на техническое устройство: центробежный ко;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6623000680;"ПАО ""ЕВРАЗ""";не сказан;турбокомпрессорный агрегат К-1500-62-2, ст.№7, зав.№6205, установленный на территории отде;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0266033685;"ООО ""ПВК""";вывод по роду деятельности;"«Фундамент нагнетателя В – 6/6, цех БОС», инв. № 40030055 ООО «ПромВодоКанал»;";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";не сказан;«Площадка производства по переработке нефти и нефтепродуктов», рег. № ОПО А25-00260-0025, ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4220023963;"ООО ""ШАХТА №12""";не сказан;технические устройства: конвейер скребковый СР-70 поз.№1080 (инв.№ 8076), пылеуловитель ПМ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1648032420;"АО ""ПОЗИС""";не сказан;Заключение экспертизы промышленной безопасности 519-1-22ПБ-8 на техническое устройство, пр;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ""";не сказан;Заключение экспертизы промышленной безопасности на технические устройства: дозатор №17363,;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";не сказан;"технические устройства: сгуститель радиальный Baker Proccess D20 поз.131; центрифугу фильт";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6666003414;КУЗОЦМ;не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2465102746;АО БоАЗ;вывод по роду деятельности;"Закупка ТМЦ для нужд АО ""БоАЗ"" (Лампа Philips (тёплый свет), Турбина 2674A256 Perkins, Тур";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6726024309;Золотая нива (ИК Арлан);вывод по роду деятельности;Закупка турбокомпрессора к тр-ру Терион для ООО Золотая нива Смоленской области (id492151);ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2709001590;"АО ""ПОРТ ВАНИНО""";вывод по роду деятельности;Поставка турбокомпрессора для ПС Mantsinen 70R, согласно техническому заданию для нужд АО ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0272927232;"АКЦИОНЕРНОЕ ОБЩЕСТВО МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРА";вывод по роду деятельности;оказание услуг по ремонту турбокомпрессоров сельскохозяйственной техники и автотранспорта ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5920005217;МУП ЧАЙКОВСКИЙ ВОДОКАНАЛ;вывод по роду деятельности;"Поставка ротора турбокомпрессора для КОС участка ВКХ ""Марковский""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6829012231;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАМБОВСКАЯ СЕТЕВАЯ КОМПАНИЯ""";вывод по роду деятельности;"Поставка турбокомпрессора для Мичуринского филиала АО ""ТСК""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5612002437;АО АК № 1825;вывод по роду деятельности;"Оказание услуг по ремонту турбокомпрессоров для нужд ЗАО ""АК № 1825""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2901038518;Севералмаз;вывод по роду деятельности;"Закуп турбокомпрессора на снегоболотоход ""Петрович""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1435219600;АО ВОДОКАНАЛ;вывод по роду деятельности;Покупка масла для турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2635040105;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ СТАВРОПОЛЬСКОГО КРАЯ """;вывод по роду деятельности;Поставка турбокомпрессора для обеспечения нужд филиала ГУП СК «Ставрополькрайводоканал» - ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5252000350;"ПАО ""ПАВЛОВСКИЙ АВТОБУС""";вывод по роду деятельности;Капитальный ремонт кабельных линий 6кВ РП-3 - Турбокомпрессорная;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0245022178;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ М;вывод по роду деятельности;оказание услуг по ремонту турбокомпрессоров сельскохозяйственной техники и автотранспорта;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
3435000932;"МУП ""ВОДОКАНАЛ""";вывод по роду деятельности;Поставка турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6165132680;ВСК;вывод по роду деятельности;Выполнение электромонтажных и пусконаладочных работ по объекту: «Капитальный ремонт систем;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2466229600;"Общество с ограниченной ответственностью ""Краевая энергосбер";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессора ТВДЗ-Б;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2311010502;ГБУЗ ККБ № 2;не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5038004331;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСО";вывод по роду деятельности;"Поставка турбокомпрессора для МТЗ для нужд Бородинского филиала ГАУ МО ""Мособллес""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5199000024;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИЧЕСКИЕ МОРСКИЕ ИНЖЕНЕРНО-ГЕОЛОГИЧ";вывод по роду деятельности;Поставка расходного материала для турбокомпрессора АВВ НИС Бавенит;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4629026667;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ ГОРОДА КУРСКА";вывод по роду деятельности;Поставка комплектов фильтров для турбокомпрессора TURBOMAX 250;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7105504223;"АО ""Тулагорводоканал""";вывод по роду деятельности;Оказание услуг по диагностике турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7817315385;"АО ""СНСЗ""";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0267018087;ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТА;вывод по роду деятельности;На поставку турбокомпрессоров с электродвигателями и шкафа управления с преобразователем ч;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7743937082;ФАУ РОСДОРНИИ;вывод по роду деятельности;Ремонт топливной системы, замена турбокомпрессора, замена цепи ГРМ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7810442793;«ГСП-Механизация»;вывод по роду деятельности;Заявка МЕКА-012047 турбокомпрессор CAT, Алдан;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
8703010889;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРЕАЛ. РЕГИОНАЛЬНЫ";вывод по роду деятельности;Закупка Турбокомпрессора 23099979 к ПДМ CHTC DR WJ-3;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7810474820;ГСП-СЕРВИС;вывод по роду деятельности;Поставка турбокомпрессора VOLKSWAGEN 2H AMAROK (867) на ОС 2001061-0145_Б-У_КС-4_Воркутинс;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7705002602;Государственное унитарное предприятие города Москвы «Мосгорт;вывод по роду деятельности;Оказание услуг по ремонту турбокомпрессоров подвижного состава филиалов ГУП «Мосгортранс»;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7830001758;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПА;вывод по роду деятельности;Оказание услуг по восстановительному ремонту турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5008028127;"ФИЛИАЛ ""УЛЬЯНОВСКАЯ ДАМБА""";вывод по роду деятельности;"Поставка турбокомпрессора и водяной помпы для нужд филиала ""Мособлводхоз"" ФГБВУ ""Центрреги";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7727656790;Государственное бюджетное учреждение города Москвы «Автомоби;вывод по роду деятельности;Аукцион в электронной форме на право заключения контракта на оказание услуг по ремонту тур;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5003113668;УММ;вывод по роду деятельности;Поставка согласно спецификации №70: Турбокомпрессор, коронки ковша, ... (Производитель ука;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6673091980;ПЖТ-55;вывод по роду деятельности;ТУРБОКОМПРЕССОР ТК-23С-1 после капитального ремонта.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5030015500;"МУП ""ВОДОКАНАЛ""";вывод по роду деятельности;Закупка турбокомпрессора с электродвигателем и рамой;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7708117908;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕМРОС""";вывод по роду деятельности;Проведение технического обслуживания турбокомпрессора Atlas Copco ZH15000+ AFF197462 на АО;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5615002820;ОКУ;вывод по роду деятельности;Ремонт турбокомпрессоров двигателей импортной автотракторной техники (id261480);ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0255010527;"АО ""БЕЛЗАН""";вывод по роду деятельности;Поставка турбокомпрессора с электродвигателем;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2801108200;Филиал АО «ДРСК» «Хабаровские электрические сети»;вывод по роду деятельности;Турбокомпрессор Shantui к бульдозерам Shantui 7N7748/4N8969 Китай;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7731084175;АО КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7111022115;Гланит;вывод по роду деятельности;Поставка адиабатической системы охлаждения к центробежному турбокомпрессору Centac закрыто;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5047001707;"МП ""ХИМКИЭЛЕКТРОТРАНС""";вывод по роду деятельности;Поставка турбокомпрессора для нужд МП «Химкиэлектротранс» в 2024 году;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7724790726;СпецПромПоставка (Москва);вывод по роду деятельности;Запчасти для иномарок. Лот 1. КПП и турбокомпрессор для Фольксваген Транспортер Т5;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7736259816;"ООО ""УК ""ЭВОЛЮЦИЯ""";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7214008190;"ООО СП ""Голышмановское""";вывод по роду деятельности;Поставка запасной части - Турбонагнетатель RE534562;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2315990838;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МУНИЦИПАЛЬНЫЙ ПАССАЖИРС";вывод по роду деятельности;Поставка турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7704747169;Государственное автономное учреждение культуры города Москвы;вывод по роду деятельности;Ремонт турбокомпрессоров спецтехники;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5040088177;"МУК ДК ""РОДНИКИ""";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7716789300;Государственное бюджетное учреждение города Москвы «Жилищник;вывод по роду деятельности;Турбокомпрессор VM 35242143Н;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5007102138;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЖКХ И БЛАГОУСТРОЙСТВО"" Д";не сказан;;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7722345864;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРУППА КОМПАНИЙ АВИЛОН""";вывод по роду деятельности;Ремонт турбокомпрессоров авто;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7719895794;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК;вывод по роду деятельности;Турбокомпрессор двигателя;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5445016903;"ООО ""НСК-ЭКСПЕРТ""";не сказан;"документацию ""Техническое перевооружение опасного производственного объекта «Площадка глав";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5403100293;"МОАО ""Авангард""";не сказан;Заключение экспертизы промышленной безопасности на технические устройства: Вентилятор GAS ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7104002774;"ПАО ""КМЗ"" (ИНН 7104002774)";вывод по роду деятельности;техническое устройство – «Трубопровод подачи пара к турбокомпрессору № 2 (ТК-2), рег. № 87;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
2222056512;ООО 'Нортек';вывод по роду деятельности;Производство технического и сервисного обслуживания с текущим ремонтом двух турбокомпрессо;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7402001769;"ОАО ""УФАЛЕЙНИКЕЛЬ""";не сказан;Компрессор К-25 Насос сжиженного газа 2НСГ-0,0695/20-2 Турбогазодувка ТГ-200-1,4 Турбогазо;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7705033216;"ОАО ""РОТ ФРОНТ""";не сказан;ЗАКЛЮЧЕНИЕ 183-25/15 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на технические устройства, приме;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7116019123;"ООО ""ПОЛИПЛАСТ НОВОМОСКОВСК""";вывод по роду деятельности;техническое устройство – сушильная установка КС-5 в составе с газовой горелкой ГНП – 9АП, ;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
1304004070;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МОРДОВИЯ ""БЕР";вывод по роду деятельности;Закупка турбокомпрессора для отопительных котлов;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5249006828;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЭКСПРЕСС"" Г.ДЗЕРЖИНСК";вывод по роду деятельности;Поставка турбокомпрессора и оси коромысла для нужд МУП «Экспресс»;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4205088363;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ КУЗБАССА ""ПАССАЖИРАВТОТРАНС""";вывод по роду деятельности;"Поставка турбокомпрессора для газового двигателя для нужд ГПК ""ПАТ"" г.Кемерово";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5260000192;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""НИЖЕГОРОД";вывод по роду деятельности;Услуги по ремонту вышедших из строя турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5473018885;"АО ""НГТ""";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5260497721;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКИЙ ПАССАЖИРСКИЙ АВТОМОБИЛЬН";вывод по роду деятельности;Услуги по ремонту вышедших из строя турбокомпрессоров;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4027001552;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ КАЛУЖСКОЙ ОБЛАСТИ ""КАЛУГАОБЛВОДО";вывод по роду деятельности;Поставка турбокомпрессора;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
6623144562;МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ВЕРХНЕСАЛДИНСКОГО МУНИЦИ;вывод по роду деятельности;"Поставка турбокомпрессора для нужд МУП ""ВКС""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
5409102650;"МКП ""НГТ""";вывод по роду деятельности;Выполнение работ по ремонту турбокомпрессоров Заказчика;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
4719017995;"ООО ""НОВЫЙ СВЕТ-ЭКО""";вывод по роду деятельности;поставка запасных частей (турбокомпрессор)для бульдозера Caterpillar D6N LGP;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
0573008521;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ МОРСКОЙ ТОРГОВЫЙ ПОРТ""";вывод по роду деятельности;"Поставка турбокомпрессора ДГ т/х ""Дербент""";ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
7725727149;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИТИМАТИК""";вывод по роду деятельности;Поставка насоса водяного и турбокомпрессора для мусороуплотнителя BOMAG 972 г.р.з. 7628СО.;ни в одной цитате воздух не назван и марка его не доказывает — воздушность это наш вывод
