Приоритет;Кластер;Тема;Запрос;Интент;Фактура твёрдая;Канон;Разделы каталога;Чем выгрызем;Статус
1;Непищевые направления;Цветная сортировка ПЭТ-бутылок: зачем разделять прозрачный, зеленый и коричневый пластик;сортировка пэт бутылок по цвету;коммерческий;да;Разница в цене вторсырья: прозрачный ПЭТ дороже цветного в 1,5-2 раза. Конкретные ценовые диапазоны на рынке РФ 2024-2025;/catalog/plastik/ /catalog/plastikovaya-tara/;экономика сортировки: сколько теряешь, если сдаёшь смесь, vs стоимость машины CG-P или Global. ROI на примере переработчика;
1;Непищевые направления;Керамические включения в стеклобое: почему опасны и как удалить;керамика в стеклобое;информационный;да;Температура плавления: стекло ~1400-1600°C, керамика >1700°C. Керамика не плавится и образует камни в массе;/catalog/steklo/;физика проблемы + единственный надёжный метод сортировки — рентген (плотность керамики выше). Модели XM, XS подходят;
1;Непищевые направления;ПВХ в ПЭТ-потоке: почему недопустим и как выявить примесь;пвх в пэт примесь;информационный;да;При переработке ПВХ выделяет хлористый водород, который разрушает оборудование и загрязняет ПЭТ. Допустимая доля PVC в флексе < 50-100 ppm (уточнить ТУ);/catalog/plastik/ /catalog/plastikovaya-tara/;химия процесса + методы выявления: спектрометрия (дорого), цветовая сортировка по оттенку (ПВХ чуть синее), плотность;
1;Нормативы и контроль качества;Натура пшеницы по ГОСТ: норма для 1-5 класса и как измерить;натура пшеницы по гост;нормативный;сверить;уточнить: ГОСТ на пшеницу продовольственную (вероятно 9353 или 52554), таблица значений г/л по классам;/catalog/pshenitsa/;таблица по классам + как фотосепаратор помогает отбраковать щуплое зерно, влияющее на натуру;
1;Нормативы и контроль качества;Зараженность зерна вредителями по ГОСТ: допустимые нормы и методы проверки;зараженность зерна вредителями гост;нормативный;сверить;уточнить: методика по ГОСТ (вероятно раздел в стандартах на зерно или отдельный ГОСТ на методы испытаний), нормы по ТР ТС 015/2011;/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;конкретные пороги зараженности (жив/мертв), как рентген находит личинок внутри зерна;
1;Нормативы и контроль качества;Сорная примесь в пшенице: норма по ГОСТ и методика определения;сорная примесь в пшенице норма;нормативный;сверить;уточнить: ГОСТ на пшеницу, таблица допустимых % по классам, перечень что входит в сорную примесь;/catalog/pshenitsa/;разбор что входит в сорную примесь + как фотосепаратор убирает каждую фракцию за один проход;
1;Нормативы и контроль качества;Минеральная примесь в зерне: норма по ТР ТС и метод определения;минеральная примесь в зерне норма;нормативный;да;ТР ТС 015/2011, пункт о минеральной примеси, допустимые значения % по культурам;/catalog/pshenitsa/ /catalog/semena-podsolnechnika/ /catalog/yachmen/;чёткие цифры по ТР ТС + почему фотосепаратор эффективнее решет для камней и земли;
1;Нормативы и контроль качества;Испорченные зерна в партии: норма по ГОСТ и как определить;испорченные зерна норма гост;нормативный;сверить;уточнить: определение из ГОСТов на зерно, допустимый % по культурам и классам;/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;что считается испорченным + как фотосепаратор отбраковывает по потемнению и рентген видит гниль внутри;
1;Нормативы и контроль качества;Проросшие зерна пшеницы: допустимая норма по ГОСТ и влияние на качество;проросшие зерна пшеницы норма;нормативный;сверить;уточнить: ГОСТ на пшеницу, допустимый % проросших по классам;/catalog/pshenitsa/;цифры по классам + как отделить проросшие по изменению цвета оптическим методом;
1;Нормативы и контроль качества;Металломагнитная примесь в зерне: норма по ТР ТС и методика выделения;металломагнитная примесь в зерне норма;нормативный;да;ТР ТС 015/2011, допустимое содержание мг/кг, методика извлечения и взвешивания;/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;точные цифры ТР ТС + как рентген-инспекция дополняет магнитную сепарацию для цветмета и мелких частиц;
1;Орехи, сухофрукты, кофе, специи;Посторонние включения в кофе: камни, металл, стекло — методы обнаружения;посторонние включения в кофе;нормативный;сверить;уточнить: ТР ТС 021/2011 (пищевая безопасность), методы рентген-инспекции и фотосепарации;/catalog/kofe/;конкретика по металлу, камням и стеклу в зелёном/обжаренном кофе + технологии обнаружения на нашем оборудовании;
1;Орехи, сухофрукты, кофе, специи;Лом и крошка ореха: нормы содержания по ГОСТ для закупки;лом ореха норма гост;нормативный;сверить;уточнить: ГОСТ на конкретные виды орехов (грецкий, миндаль, фундук) — допустимый % лома и крошки по сортам;/catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/ /catalog/orekhi-i-sneki/;таблица норм по сортам для разных орехов, как фотосепаратор отсеивает крошку и половинки;
1;Орехи, сухофрукты, кофе, специи;Насекомые и их личинки в орехах: допустимые нормы и методы контроля;насекомые в орехах норма;нормативный;сверить;уточнить: ТР ТС 021/2011, допустимое количество фрагментов насекомых на кг, методы рентген-инспекции;/catalog/arakhis/ /catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/ /catalog/orekhi-i-sneki/;как рентген видит скрытых личинок внутри скорлупы и ядра, пороги обнаружения;
1;Орехи, сухофрукты, кофе, специи;Стекло в орехах и сухофруктах: как обнаружить на производстве;стекло в орехах обнаружение;коммерческий;да;рентген-инспекция, чувствительность к стеклу от 1,5–2 мм, стандарты HACCP и IFS Food;/catalog/orekhi-i-sneki/ /catalog/sukhofrukty/;технические параметры обнаружения стекла рентгеном, сравнение с металлодетекторами;
1;Орехи, сухофрукты, кофе, специи;Скорлупа в ядре ореха: допустимый процент по ГОСТ;скорлупа в ядре ореха норма;нормативный;сверить;уточнить: ГОСТ на грецкий орех, миндаль, фундук — допустимый % скорлупы в товарном ядре по сортам;/catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/ /catalog/orekhi-i-sneki/;таблица норм по сортам, как фотосепаратор различает скорлупу по цвету и форме;
1;Орехи, сухофрукты, кофе, специи;Афлатоксины в орехах и сухофруктах: допустимые уровни и контроль;афлатоксины в орехах норма;нормативный;да;ТР ТС 021/2011: афлатоксин B1 — не более 5 мкг/кг (орехи, сухофрукты), сумма афлатоксинов — не более 10 мкг/кг;/catalog/arakhis/ /catalog/orekhi-i-sneki/ /catalog/sukhofrukty/;конкретные цифры по ТР ТС, как цветосортировка убирает повреждённые и плесневелые ядра — источники афлатоксинов;
1;Рентген-инспекция и пищевая безопасность;Металлические включения в продуктах питания: нормы ХАССП и методы контроля;металлические включения в продуктах питания нормы;нормативный;сверить;уточнить: ТР ТС 021/2011, принципы ХАССП по металлическим включениям как критической контрольной точке;/catalog/detskoe-pitanie/ /catalog/zamorozhennye-produkty/;Конкретные допустимые размеры металлических включений по категориям продуктов, таблица критических контрольных точек, сравнение металлодетектора и рентгена;
1;Рентген-инспекция и пищевая безопасность;Стекло в продуктах питания: допустимые нормы и рентген-контроль;стекло в продуктах питания нормы;нормативный;сверить;уточнить: требования ТР ТС 021/2011 к стеклянным включениям, размер критических фрагментов;/catalog/detskoe-pitanie/ /catalog/konditerskie-izdeliya/;Минимальный выявляемый размер стекла рентгеном, почему оптика его не видит, реальные кейсы отзыва продукции из-за стекла;
1;Рентген-инспекция и пищевая безопасность;Камни в крупах и бобовых: нормы содержания и рентген-инспекция;камни в крупе норма;нормативный;сверить;уточнить: ГОСТ на конкретные крупы (рис, гречка, горох, чечевица) - допустимое содержание минеральной примеси;/catalog/chechevitsa/ /catalog/fasol/ /catalog/gorokh/ /catalog/grechka/ /catalog/ris/;Таблица норм по каждой культуре, почему гравиметрия пропускает камни той же плотности, преимущество рентгена перед ситами;
1;Рентген-инспекция и пищевая безопасность;Критические контрольные точки ККТ в производстве: где ставить рентген;критические контрольные точки ккт хассп;информационный;да;Принципы ХАССП: идентификация ККТ по блок-схеме производства, решающее дерево для определения точек контроля;/catalog/krupy/ /catalog/zamorozhennye-produkty/;Конкретные примеры расстановки рентген-инспекции на линиях разных продуктов, ошибки при выборе ККТ, чек-лист для аудита;
1;Рентген-инспекция и пищевая безопасность;Рентген-инспекция орехов: камень, скорлупа, металл - что можно найти;рентген контроль орехов;коммерческий;да;Различия в плотности ядра, скорлупы, камня и металла - физическая основа сепарации рентгеном;/catalog/arakhis/ /catalog/fistashki/ /catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/;Таблица плотностей для каждого вида ореха и примеси, настройки порогов для конкретных моделей MEYER, фото дефектов в рентгеновском изображении;
1;Рентген-инспекция и пищевая безопасность;Посторонние включения в детском питании: нормы и 100% контроль;посторонние включения в детском питании;нормативный;сверить;уточнить: ТР ТС 034/2013 и ГОСТ на детское питание - требования к отсутствию механических включений;/catalog/detskoe-pitanie/;Нулевая толерантность к включениям в детском питании, почему нужен 100% контроль, кейсы отзыва продукции, настройка максимальной чувствительности;
1;Рентген-инспекция и пищевая безопасность;Стеклянные осколки в детском питании: почему рентген обязателен;стекло в детском питании контроль;нормативный;сверить;уточнить: ТР ТС 034/2013 - требования к отсутствию стеклянных включений в продуктах для детей;/catalog/detskoe-pitanie/;Случаи отзыва детского питания из-за стекла, минимальный размер обнаружения, 100% инспекция vs выборочный контроль, настройка MEYER для баночек;
2;Выбор и эксплуатация оборудования;Обслуживание фотосепаратора: регламент, частота, типичные поломки;обслуживание фотосепаратора;информационный;да;Регламент MEYER: ежедневная очистка стёкол и датчиков (5-10 мин), еженедельная калибровка (20 мин), ежемесячная проверка клапанов и сопел (1 ч), ежегодная замена уплотнений. ТОП-5 поломок и их профилактика;/catalog/kofe/ /catalog/pshenitsa/ /catalog/semena-podsolnechnika/;Конкретный график ТО с трудозатратами + чек-лист признаков, когда пора звать сервис (падение точности, рост отбраковки). Не реклама сервиса, а реальная инструкция;
2;Выбор и эксплуатация оборудования;Лизинг фотосепаратора: условия, льготы, субсидии 2025;лизинг фотосепаратора;коммерческий;сверить;уточнить: актуальные программы Минсельхоза РФ на 2025 год (субсидирование до 25% стоимости оборудования для переработки), условия лизинга (аванс, ставка, срок). Требования к заёмщику;/catalog/grechka/ /catalog/pshenitsa/ /catalog/semena-podsolnechnika/;Свежие реалии 2025: какие субсидии реально работают, какие банки дают лизинг на агрооборудование, сколько нужно собственных средств. Остальное пишет про лизинг вообще;
2;Выбор и эксплуатация оборудования;Фотосепаратор или триер: что выбрать для очистки зерна от примесей;фотосепаратор или триер;коммерческий;да;Сравнительная матрица: триер удаляет по длине (овсюг, битое зерно), фотосепаратор — по цвету и форме (камни, стекло, больные зёрна, склероции). Для соответствия ГОСТ 9353-2016 (пшеница 1-3 класс) часто нужны оба;/catalog/grechka/ /catalog/pshenitsa/ /catalog/yachmen/;Таблица задач: какая примесь чем удаляется + когда нужна связка триер+фотосепаратор. Сейчас все пишут 'фотосепаратор лучше', но не объясняют, когда это не так;
2;Выбор и эксплуатация оборудования;Сколько электроэнергии потребляет фотосепаратор: расчёт затрат;энергопотребление фотосепаратора;информационный;да;Паспортная мощность моделей MEYER (кВт): 120M — уточнить, CG-A — уточнить, XM — уточнить. Формула расчёта: (мощность × часы работы × тариф) / производительность (т). Пример: стоимость очистки 1 тонны пшеницы;/catalog/grechka/ /catalog/pshenitsa/ /catalog/semena-podsolnechnika/;Конкретные цифры энергопотребления на тонну продукта, а не общие киловатты. Сравнение с другими методами очистки (аспирация, гравитация);
2;Выбор и эксплуатация оборудования;Как настроить фотосепаратор под новую культуру: пошаговая инструкция;настройка фотосепаратора;информационный;да;Алгоритм настройки MEYER: 1) загрузка эталонных образцов (100 зёрен чистого + 20 примесей), 2) обучение системы (сканирование), 3) установка порога отбраковки (чувствительность 1-10), 4) тестовая партия 5-10 кг, 5) корректировка по результату. Время настройки: 30-60 мин;/catalog/gorokh/ /catalog/grechka/ /catalog/pshenitsa/ /catalog/ris/;Иллюстрированная инструкция с реальными параметрами, которые нужно вводить. Сейчас везде 'настроить легко', но никто не пишет как именно;
2;Выбор и эксплуатация оборудования;Как проверить качество работы фотосепаратора: методика контроля;контроль качества фотосепаратор;информационный;да;Методика входного/выходного контроля: отбор проб по ГОСТ 13586.3-2015 (500 г), подсчёт примесей до и после, расчёт эффективности отделения (% удалённых примесей) и потерь годного продукта (не более 0,5-1%). Периодичность контроля: ежесменно;/catalog/grechka/ /catalog/pshenitsa/ /catalog/ris/;Пошаговая методика с нормативами для оператора: как отобрать пробу, что считать, какие показатели допустимы. Практическая инструкция, а не теория;
2;Зерновые, зернобобовые, масличные;Куколь обыкновенный в зерне: почему это вредная примесь;куколь в зерне;нормативный;сверить;уточнить: ГОСТ на зерно, категория вредной примеси, допустимые нормы содержания;/catalog/pshenitsa/ /catalog/rozh/ /catalog/yachmen/;Токсичность для человека и животных, нормативная классификация, методы отделения по размеру и цвету;
2;Зерновые, зернобобовые, масличные;Рыжик посевной в рапсе и льне: как отделить трудноотделимую примесь;рыжик в рапсе примесь;информационный;сверить;уточнить: ГОСТ на семена рапса и льна, категория трудноотделимой сорной примеси;/catalog/len/ /catalog/raps/;Близость размеров и формы к основной культуре, методы разделения по плотности и цвету, практический опыт;
2;Зерновые, зернобобовые, масличные;Головня пшеницы и ячменя: как определить головневые зерна;головня зерна;нормативный;сверить;уточнить: ГОСТ на пшеницу и ячмень, головневые зерна как болезненно измененные, допустимый процент;/catalog/pshenitsa/ /catalog/yachmen/;Виды головни, визуальные признаки, нормы содержания, эффективность цветовой сепарации черных спор;
2;Зерновые, зернобобовые, масличные;Татарская гречиха в гречихе: норма сорной примеси по ГОСТ;татарская гречиха примесь;нормативный;сверить;уточнить: ГОСТ на гречиху, татарская гречиха как сорная примесь, допустимый процент;/catalog/grechka/;Отличия от культурной гречихи, влияние на качество крупы, методы разделения по толщине и цвету оболочки;
2;Зерновые, зернобобовые, масличные;Зеленая примесь в зерне: нормы содержания и влияние на качество;зеленая примесь в зерне;нормативный;сверить;уточнить: ГОСТ на зерновые, зеленая примесь как недозрелые зерна и части растений, нормы по классам;/catalog/oves/ /catalog/pshenitsa/ /catalog/yachmen/;Состав зеленой примеси, нормы для разных культур и классов, удаление фотосепарацией по хлорофиллу;
2;Зерновые, зернобобовые, масличные;Амброзия полыннолистная в подсолнечнике: карантинный сорняк;амброзия в подсолнечнике;информационный;сверить;уточнить: перечень карантинных объектов РФ, требования к отсутствию в партиях семян;/catalog/semena-podsolnechnika/;Карантинный статус, аллергенность, требования фитосанитарного контроля, методы обнаружения и удаления при калибровке;
2;Зерновые, зернобобовые, масличные;Щуплое зерно пшеницы: норма содержания и влияние на класс;щуплое зерно пшеницы;нормативный;сверить;уточнить: ГОСТ на пшеницу, щуплые зерна в составе сорной или зерновой примеси, нормы по классам;/catalog/pshenitsa/ /catalog/yachmen/;Определение щуплости, причины образования, нормы для разных классов, методы калибровки и аспирации;
2;Непищевые направления;Примеси в резиновой крошке: нормы содержания металла и текстиля по ГОСТ;примеси в резиновой крошке норма;нормативный;сверить;уточнить: ГОСТ Р 54156 или ТУ на резиновую крошку из шин. Нормы по металлокорду, текстилю, размеру фракции;/catalog/rezina/;таблица норм по фракциям + какими методами выявляют (магнитная сепарация, воздушная, рентген для мелкого металла);
2;Непищевые направления;Стеклобой: требования к чистоте для производства стекловолокна и тары;стеклобой требования к качеству;нормативный;сверить;уточнить: ГОСТ 32782 или отраслевой стандарт. Критерии: керамика < 0,X%, металл, органика, цветность;/catalog/steklo/;разные классы стеклобоя (А, Б, В) — под какое применение. Показать, что керамика и камень неотличимы визуально, нужен рентген;
2;Непищевые направления;Сортировка пластиковой тары по цвету: как отделить прозрачную от окрашенной;сортировка пластиковой тары по цвету;коммерческий;да;Стандарт маркировки тары по цвету отсутствует, но закупочная цена прозрачного ПЭТ выше на 30-50%. Конкретные цены уточнить;/catalog/plastikovaya-tara/;какие задачи решает фотосепаратор: удаление цветного, этикетки, крышек другого полимера. Схема линии с моделью CG-S или Master 4.0 CG;
2;Непищевые направления;Сортировка пластика по плотности: флотация и оптические методы;сортировка пластика по плотности;информационный;да;Плотность полимеров: PE 0,91-0,97, PP 0,89-0,91, PET 1,38-1,40, PVC 1,16-1,58, PS 1,04-1,09 г/см³;/catalog/plastik/;когда флотация работает (PE/PP от PET/PVC), когда нужна оптика (PET от PVC близкой плотности). Схема комбинированной линии;
2;Непищевые направления;Полипропилен и полиэтилен: как различить в потоке вторсырья;как отличить полипропилен от полиэтилена;информационный;да;Маркировка: PP (код 5), PE-HD (2), PE-LD (4). Визуально: PP жёстче, звонче при ударе, PE мягче. Точное разделение — NIR-спектроскопия или фотосепаратор по оттенку;/catalog/plastik/;"практические признаки для сортировщика + таблица применений (PP — крышки, вёдра; PE — плёнка, канистры). Какие модели разделяют";
2;Непищевые направления;Металлические включения в резиновой крошке: как удалить металлокорд из переработанных шин;удаление металлокорда из резиновой крошки;коммерческий;да;Содержание металла в крошке регулируется заказчиком, типично < 0,05-0,1% для спортпокрытий (уточнить ГОСТ Р 54156 или ТУ);/catalog/rezina/;этапы очистки: магнитная сепарация (крупный корд) → рентген-инспекция (мелкие обрезки проволоки). Модель XM или XS на финальной стадии;
2;Непищевые направления;Цветная сортировка стекла: зачем разделять зеленое, коричневое и прозрачное стекло;сортировка стекла по цвету;коммерческий;да;Прозрачное (флинт) стекло дороже цветного, т.к. цветное нельзя обесцветить. Разница в цене вторсырья ~20-40% (уточнить текущие биржевые);/catalog/steklo/;экономика: потеря выручки при сдаче смешанного боя vs цена фотосепаратора. Какие модели справляются (CG-A, Master 4.0 CG);
2;Нормативы и контроль качества;Классность гречки по ГОСТ: требования к ядрице и проделу;гречка гост классы;нормативный;сверить;уточнить: ГОСТ на гречку крупу (вероятно 5550), показатели по сортам/классам;/catalog/grechka/;таблица по классам + как отделить недоруш и колотое зерно оптическим методом;
2;Нормативы и контроль качества;Масличная примесь в подсолнечнике по ГОСТ: что входит и какая норма;масличная примесь подсолнечник гост;нормативный;сверить;уточнить: ГОСТ на семена подсолнечника (вероятно 22391), перечень масличной примеси и %;/catalog/semena-podsolnechnika/;расшифровка состава масличной примеси + как отделить рапс, лён и сорняки по цвету;
2;Нормативы и контроль качества;Лузжистость подсолнечника по ГОСТ: норма для маслоэкстракции;лузжистость подсолнечника норма;нормативный;сверить;уточнить: ГОСТ на подсолнечник маслосемена, допустимая лузжистость % для разных целей;/catalog/semena-podsolnechnika/;таблица норм + как фотосепаратор убирает пустые и щуплые семена с высокой лузгой;
2;Нормативы и контроль качества;Содержание белка в пшенице по классам: норма ГОСТ и влияние на цену;содержание белка в пшенице по классам;нормативный;сверить;уточнить: ГОСТ на пшеницу, таблица % белка по классам (1-5 класс);/catalog/pshenitsa/;точные пороги + как удаление щуплого зерна фотосепаратором повышает средний белок в партии;
2;Нормативы и контроль качества;Кислотное число подсолнечника: норма по ГОСТ для хранения и переработки;кислотное число подсолнечника норма;нормативный;сверить;уточнить: ГОСТ на подсолнечник, допустимое кислотное число мг КОН/г для свежих и слежавшихся семян;/catalog/semena-podsolnechnika/;пороги по свежести + как удаление битых и гнилых семян на старте снижает рост кислотности при хранении;
2;Нормативы и контроль качества;Влажность риса по ГОСТ: норма для хранения и переработки;влажность риса гост норма;нормативный;сверить;уточнить: ГОСТ на рис-зерно и крупу, допустимая влажность % по типам (зерно, крупа шлифованная);/catalog/ris/;таблица по видам риса + как предварительная оптическая очистка убирает источники переувлажнения (зелёные зерна, органику);
2;Нормативы и контроль качества;Посторонние запахи в зерне: как определить по ГОСТ и допустимы ли;посторонние запахи в зерне гост;нормативный;сверить;уточнить: раздел органолептики в ГОСТах на зерно, перечень недопустимых запахов (плесень, солярка, гниль);/catalog/pshenitsa/ /catalog/yachmen/ /catalog/zerno-kukuruzy/;перечень запахов и их причины + как удаление поражённых зёрен оптикой и рентгеном предотвращает порчу всей партии;
2;Орехи, сухофрукты, кофе, специи;Плесень на сухофруктах: как выявить скрытый брак при закупке;плесень на сухофруктах как определить;нормативный;сверить;уточнить: ТР ТС 021/2011, СанПиН по микотоксинам, визуальные признаки плесени на кураге, изюме, черносливе;/catalog/chernosliv/ /catalog/izyum/ /catalog/kuraga/ /catalog/sukhofrukty/;признаки скрытой плесени, которые не видны при приёмке, роль цветосортировки в отбраковке;
2;Орехи, сухофрукты, кофе, специи;Камни и песок в специях: требования ТР ТС и способы очистки;минеральные примеси в специях;нормативный;сверить;уточнить: ТР ТС 029/2012 (специи), допустимое содержание минеральных примесей, зольность;/catalog/spetsii-i-pryanosti/;конкретные цифры по зольности и минеральным примесям, как фотосепаратор убирает камни из перца, кориандра, тмина;
2;Орехи, сухофрукты, кофе, специи;Прогорклость орехов: как определить и какие нормы перекисного числа;прогорклость орехов норма;нормативный;сверить;уточнить: ГОСТ на орехи, перекисное число (ПЧ) и кислотное число (КЧ), пороговые значения по сортам;/catalog/arakhis/ /catalog/funduk/ /catalog/gretskiy-orekh/ /catalog/mindal/ /catalog/orekhi-i-sneki/;таблица норм ПЧ для разных орехов, органолептика + роль цветосортировки для отбраковки тёмных/окисленных ядер;
2;Орехи, сухофрукты, кофе, специи;Металлические включения в какао-бобах: нормы и методы контроля;металл в какао бобах;нормативный;сверить;уточнить: ТР ТС 021/2011, требования HACCP, размер обнаруживаемых включений (Fe, non-Fe, нержавейка);/catalog/kakao-boby/;источники металла в какао (ферментация, сушка, транспорт), как рентген и металлодетекторы работают на линии;
